Expense For?,Amount?,Payment?,Expense Date?,Description?,Status?,Paid By?,,SOURCE,STATUS,TOTAL
tahu baso,"Rp15,000",CC BNI,5/3/2026,,PAID,,,,,
tokopedia,"Rp406,200",CC DIGIBANK,5/4/2026,,,TETEH,,,,
shopee,"Rp334,140",CC DIGIBANK,5/4/2026,tripod,PAID,,,,,
grab,"Rp7,000",CC BCA,5/4/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,5/4/2026,,PAID,,,,,
pasar,"Rp38,520",CC BNI,5/4/2026,,PAID,,,,,
paperid,"Rp5,585,250",CC BCA,5/4/2026,buat thailand,,,,,,
kokarmina,"Rp44,000",CC BNI,5/5/2026,,PAID,,,,,
alfamart,"Rp76,000",CC BNI,5/6/2026,,,,,,,
grab,"Rp7,000",CC BCA,5/6/2026,,PAID,,,,,
grabfood,"Rp14,500",CC BCA,5/6/2026,,PAID,,,,,
grab,"Rp9,500",CC BCA,5/6/2026,,PAID,,,,,
grabfood,"Rp32,200",CC BCA,5/6/2026,,PAID,,,,,
grab,"Rp13,500",CC BCA,5/6/2026,,PAID,,,,,
grabfood,"Rp44,819",CC BCA,5/6/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,5/6/2026,,PAID,,,,,
cafe hermina,"Rp20,000",CC BNI,5/7/2026,,PAID,,,,,
kuota,"Rp57,000",CC BNI,5/7/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,5/7/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,5/7/2026,,PAID,,,,,
grab,"Rp9,000",CC BCA,5/7/2026,,PAID,,,,,
grabfood,"Rp101,977",CC BCA,5/7/2026,,,,,,,
grab,"Rp7,000",CC BCA,5/7/2026,,PAID,,,,,
shopee,"Rp516,940",CC BCA,5/7/2026,headset ruby,,,,,,
grab,"Rp7,000",CC BCA,5/8/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,5/8/2026,,PAID,,,,,
grabfood,"Rp22,199",CC BCA,5/8/2026,,PAID,,,,,
shopee,"Rp520,600",CC BCA,5/8/2026,headset srintil,,,,,,
grab,"Rp7,000",CC BCA,5/8/2026,,PAID,,,,,
grabfood,"Rp64,400",CC BCA,5/8/2026,,PAID,,,,,
pizza hut,"Rp43,000",CC MANDIRI BONVOY,5/9/2026,,PAID,,,,,
dunkin malaysia,"Rp147,729",CC DIGIBANK,5/9/2026,,PAID,,,,,
grab thai,"Rp313,159",CC BNI,5/9/2026,,,,,,,
grabfood thai,"Rp140,843",CC BCA,5/9/2026,,PAID,,,,,
central phuket,"Rp122,108",CC DIGIBANK,5/10/2026,,PAID,,,,,
grabfood thai,"Rp107,703",CC BCA,5/10/2026,,PAID,,,,,
7 11 kata,"Rp191,071",CC DIGIBANK,5/11/2026,,PAID,,,,,
apotek,"Rp194,263",CC DIGIBANK,5/11/2026,,PAID,,,,,
grand seafood,"Rp188,712",CC DIGIBANK,5/11/2026,,PAID,,,,,
grab,"Rp15,500",CC BCA,5/11/2026,,PAID,,,,,
grabfood thai,"Rp208,391",CC BCA,5/12/2026,,PAID,,,,,
grab thai,"Rp16,538",CC BCA,5/12/2026,,PAID,,,,,
grab thai,"Rp15,897",CC BCA,5/12/2026,,PAID,,,,,
grab thai,"Rp15,897",CC BCA,5/12/2026,,PAID,,,,,
grab thai,"Rp15,897",CC BCA,5/12/2026,,PAID,,,,,
7 11 kata,"Rp202,210",CC DIGIBANK,5/12/2026,,PAID,,,,,
grabfood thai,"Rp91,515",CC BCA,5/12/2026,,PAID,,,,,
grabfood thai,"Rp175,706",CC BCA,5/13/2026,,PAID,,,,,
grab bangkok,907thb,CC BNI,5/14/2026,,,,,,,
litle malaysia,"Rp114,587",CC DIGIBANK,5/14/2026,,PAID,,,,,
noodle klia,"Rp273,863",CC DIGIBANK,5/14/2026,,PAID,,,,,
noodle klia,"Rp91,211",CC DIGIBANK,5/14/2026,,PAID,,,,,
dunkin malaysia,"Rp68,752",CC DIGIBANK,5/14/2026,,PAID,,,,,
solaria,"Rp182,000",CC DIGIBANK,5/14/2026,,PAID,,,,,
xl,"Rp65,000",CC BNI,5/14/2026,,,,,,,
grab,"Rp15,000",CC BCA,5/15/2026,,PAID,,,,,
grab,"Rp44,500",CC BCA,5/15/2026,,PAID,,,,,
kios udin pasar,"Rp115,000",CC BNI,5/16/2026,dapurbuwikra,,,,,,
lapak sayur pasar,"Rp56,000",CC BNI,5/16/2026,dapurbuwikra,,,,,,
sembako pasar,"Rp45,500",CC BNI,5/16/2026,dapurbuwikra,,,,,,
bumbu pasar,"Rp45,000",CC BNI,5/16/2026,dapurbuwikra,,,,,,
ayam pasar,"Rp104,000",CC BNI,5/16/2026,dapurbuwikra,,,,,,
ayam pasar,"Rp20,000",CC BNI,5/16/2026,dapurbuwikra,,,,,,
shopee,"Rp173,800",CC DIGIBANK,5/16/2026,dapurbuwikra,,,,,,
sabana,"Rp48,000",CC BNI,5/16/2026,,,,,,,
grabfood,"Rp57,800",CC BCA,5/16/2026,,PAID,,,,,
diamond,"Rp607,653",CC JENIUS,5/16/2026,dapurbuwikra,,,,,,
diamond,"Rp68,413",CC JENIUS,5/16/2026,,PAID,,,,,
shopee,"Rp61,185",CC DIGIBANK,5/16/2026,dapurbuwikra,,,,,,
nasi uduk,"Rp21,000",CC BNI,5/17/2026,,,,,,,
ayam pasar,"Rp32,000",CC BNI,5/17/2026,dapurbuwikra,,,,,,
ikan pasar,"Rp35,000",CC BNI,5/17/2026,dapurbuwikra,,,,,,
grabfood,"Rp50,000",CC BCA,5/17/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,5/18/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,5/18/2026,,PAID,,,,,
grabfood,"Rp22,330",CC BCA,5/18/2026,,PAID,,,,,
grab,"Rp9,000",CC BCA,5/18/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,5/18/2026,,PAID,,,,,
